,Modified_Commentary
9268,"out Bowled!! bowler is jumping in joy and he has every reason to be so. Throws in a slider and he has beaten batsman all ends up, there was a huge gap between bat (on the lazy drive) and pad and the ball snuck through at a cunning pace to rattle middle and leg. batsman b bowler 4(5) [4s-1]"
9269,"out Caught by Mandeep!! Stunned silence at the Chinnaswamy. They lost three wickets in three overs and are now in big trouble. Clever change of pace, on a length as well, Nath presses forward and has to check his shot, spoons a sitter to cover. batsman c Mandeep b bowler 3(7)"
9270,"out Bowled!! Chopped on! bowler strikes and early troubles for team. A back of a length delivery at 140.9kph wide of off. It was there to be hit, but Lynn was lethargic as he threw his bat at it without any feet movement. Gets a big inside edge which cannons onto this sticks. Replays show that the ball nipped in a touch. batsman b bowler 0(3)"
9271,"leg byes, FOUR, drifts one on the pads and batsman fails to put bat on the tickle. The ball brushes the thigh pad and beats the diving keeper to run away to fine leg"
9272,"FOUR, uppish, but in the gap. bowler offers width on this short of length delivery and batsman doesn't go hard at it. Stays back in the crease and dabs it aerially through the gap between backward point and cover-point. He used the bowler's pace (143.4kph) to good effect"
9273,"SIX, much needed shackle-breaker for batsman and team. Gopal drags back the length and batsman is all over it, quickly pouncing back in his crease and nailing the pull over deep mid-wicket"
9274,"FOUR, cheeky! team need a kick on and who better than their skipper. batsman waits for the leg-break and he opens the bat face at the last second, the ball races past the diving short third man fielder"
9275,"FOUR, sloppy! Binny has just gifted three runs. Nothing but a nudge to long-on and he came racing in to stop the second, the batsmen were never going to take it, overruns the ball and allows it to trickle into the fence"
9276,"FOUR, batsman getting the momentum for team. A low dipping full toss outside off, batsman creams the drive past extra cover and long-off had no chance to get across"
9277,"SIX, batsman joins the act. Big over for team, 25 off it and brings the innings back on track. Googly in the slot, batsman bends a bit and muscles the slog sweep into the crowd near deep mid-wicket"
9278,"SIX, Archer looks around in disbelief. He's not sure how that cleared the rope. Short of length around the hips, batsman is on the hop as he plays the flick and the ball keeps sailing over backward square leg"
9279,"out Narine Run Out!! Oh no! What have you done batsman? team didn't need this against the run of play. Slower delivery is nurdled in front of fine leg, batsman is always looking for the second but he should know his partners well, Narine is not the swiftest and he's relcutant to go but does so after seeing his skipper next to him. Aaron throws to the bowler's end and Narine is nowhere near the frame. Narine run out (Aaron/Rahane) 11(8) [4s-1 6s-1]"
9280,"SIX, sails into the crowd. Not the delivery to bowl on this surface - short and outside off, batsman at no point in time tried to keep the cut down, used the pace on the track and slashed it over backward point"
9281,"FOUR, finishes his spell with a boundary. But that still doesn't spoil his figures - 4-1-20-2. bowler stopped and caught his hamstring and then went back to rebowl this final ball. A bit of a niggle might have hampered his line and length - short and outside off, batsman slaps the cut square and it races off the turf to beat sweeper cover"
9282,"1 run, dropped! Oh no Stuart! That is the last thing you want to do to a batsman like Russell. Slower short of length delivery outside off, Russell delays his slap and still hits it straight to sweeper cover, Binny bends down and lets it slip out of his grasp. How costly would that be?"
9283,"SIX, he's already starting to hurt them. Slower delivery on the stumps, Russell goes deep in the crease with a cleared front leg and then uses that raw power of his to deposit it into the deep mid-wicket stand"
9284,"SIX, shot! The only thing wrong with the delivery was it was too straight, on middle and leg, batsman stays deep in the crease and picks it up nonchalantly over long leg. He just manages to clear the rope"
9285,"1 run, fifty for batsman. He needed this. team needed this. They needed their captain back in form and leading from the front and batsman has done just that today. Back of a length around off, batsman waits and steers it down to third man"
9286,"1 run, dropped! Once is a sin. What do you call dropping a guy like Russell twice? Prashant Chopra, on as a substitute, puts down the skier. Short of length outside off, Russell had to reach out for his muscled hoick to leg and all he could manage was a toe-end straight up, Chopra circles underneath near point and spills it. Smith is not a happy captain"
9287,"out Caught by Riyan Parag!! bowler wins the Caribbean battle. Third time lucky for team. Binny and Chopra can't breathe easy now. No fireworks from Russell today. A good short delivery that had height on it, Russell had to fetch the pull from above his head, he cue-ends it and picks out Parag at deep mid-wicket. The youngster didn't flinch while taking such a high pressure catch. batsman c Riyan Parag b bowler 14(14) [6s-1]"
9288,"SIX, just over. That last delivery somewhat ruins bowler's figures - 4-0-32-1. He was unleashed on a surface that aided him and the tall pacer has repaid the decision. This was a back of a length delivery and batsman was waiting for it, goes deep in the crease and pumps it over long-on. Not much Stokes could do there"
9289,"FOUR, nicely played. bowler deceived batsman with a slower ball, but the latter adjusts well to roll his wrist and flick it fine past the fielder at 45. Good start to the over"
9290,"out Caught by Rahane!! Gone! batsman does not make a mark at Eden Gardens. Another cutter and batsman wanted to heave it into the crowd, does not generate enough power and mistimes it towards deep mid-wicket, where the safest hands are under it. Rahane runs to his right and takes a good catch. batsman c Rahane b bowler 5(3) [4s-1]"
9291,"FOUR, with all the power hitters back in the hut, the onus falls on batsman to get team to a good score. He waits for the slower delivery and back cuts it behind point - bisecting short third man and backward point expertly"
9292,"FOUR, Rahane almost pulls off a stunner. Slower short of length delivery and batsman takes it on, the pull goes in front of square and Rahane covered a lot of ground from deep mid-wicket, dives full length to his right and gets both hands, but the ball pops out once he hit the surface and rolls into the ad cushions. He might have hurt himself there"
9293,"SIX, wow! How did he generate the power? Back of the hand slower delivery, sits up outside off and batsman still had a lot to do, he forehands the slap over extra cover and it travels the distance"
9294,"SIX, consecutive sixes to end Archer's spell. This short ball was around leg-stump, batsman gets inside the line and plays the pick up pull to send it sailing into the crowd"
9295,"FOUR, one bounce and over the ropes. batsman needs to keep going for the final four balls. bowler missed the yorker and batsman was up for it, deep in the crease and whipping it with a lot of bottom hand to cow corner"
9296,"SIX, this time it goes the distance. batsman also gets to his highest IPL score. Can he get a hundred? bowler is bowling it in the slot and batsman muscles it with all his might over long-on. Smith has a worried look"
